e1,"…pre-trained language models to build dialogue tutors with less data supervision and higher coherence (Afzal et al., 2019; Demszky and Hill, 2023; Macina et al., 2023b), and can be further improved by integrating with pedagogical and learning science principles (Stasaski et al., 2020; Sonkar et…Aside from delivering effective and fluent dia-logic teaching, there is increased interest in exploring LLMs’ potential for personalized education (Stasaski et al., 2020; Macina et al., 2023b; Sonkar et al., 2023).",highlighting the potential of pre-trained language models in education,impact-revealing
e2,"Most existing studies focus on learning the pedagogical strategies to teach the students of the given exercises [39, 40], or generating high-quality responses in the tutoring dialogues [30, 44].As an advanced form of intelligent tutoring systems (ITSs), interactive ITSs has been extensively investigated as educational dialogue systems [30, 37, 47], as it can interatively provide adaptive instructions and real-time feedback to students.Recent studies develop interactive ITSs [20, 47] that can provide real-time feedback [7, 9], engage in natural conversations [30, 39, 40, 44], and customize their teaching content based on individual student needs [5, 28, 41].",acknowledge existing research and developments in interactive intelligent tutoring systems,other
e3,"Investigations have shown that no domain (thus far) is immune to this phenomenon; the scope of adversarial examples has been expansive, reaching into image processing [4, 12, 28, 33], malware detection [13, 23], text [9, 20], and even speech recognition [5].Research outside of image space (usually) provides their own definitions: perturbed malware must maintain its properties of malware [13, 23], perturbed audio must be nearly inaudible [5], perturbed text must preserve its semantics [9, 20], among other definitions.",highlighting the broad impact of adversarial examples across multiple domains,impact-revealing
e4,2 See Table 3 in Burrows et al. (2015) for a detailed list.,the citation phrase doesn't include enough information to judge so it will be considered not impact-revealing,other
e5,"…the difficulty of test questions for humans have been conducted in the domain of reading comprehension, where the readability of reading passages is associated with the difficulty of their corresponding comprehension questions (Huang et al., 2017; Beinborn et al., 2015; Loukina et al., 2016).the difficulty of their corresponding comprehension questions (Huang et al., 2017; Beinborn et al., 2015; Loukina et al., 2016).",acknowledging prior findings in reading comprehension,other
e6,"Large-scale pre-trained models were applied to various natural language processing tasks, such as text classiﬁcation [32], question answering [33] and natural language understanding [34], but not yet MQI extraction.",Highlight research gap in MQI extraction,impact-revealing
e7,"We use pretrained sentence-BERT (Reimers and Gurevych, 2019), an approach that modiﬁes BERT (Devlin et al., 2019) using siamese and triplet networks (Schroff et al., 2015) to obtain sentence embeddings.",method use for sentence embedding generation,impact-revealing
e8,"In recent years, the analysis of argumentation using Natural Language Processing methods, so-called argument mining [158], has gained a lot of attention in the Artificial Intelligence research community and has been applied to a number of domains, from student essays [290] to scientific articles [299] and online user-generated content [314, 165].",highlighting the growing interest and application of argument mining in various domains,impact-revealing
e9,Cross encoders [24] are a type of transformer-based models that aim to capture the relationship between input pairs.,providing context on transformer-based model type,other
e10,"Additionally, word embeddings have been shown to play an important role in boosting the generalization capabilities of neural systems (Goldberg, 2016; Camacho-Collados and Pilehvar, 2018).",highlighting the significance of word embeddings in neural systems,impact-revealing
e11,"It is based on the Argument Reasoning Comprehension Task (ARCS) [9, 10], which (after correcting for biases in the initial version of the task) has been shown to be very difficult even for state-of-the-art NLP systems [11].To systematically explore this, we propose the use of new benchmark datasets and tasks which build on two existing tasks in natural language processing: natural language inference [6, 7, 8] and argument reasoning comprehension [9, 10, 11].",motivating the development of new benchmarks and tasks in NLP,impact-revealing
e12,"We use the Java Wikipedia Library (JWPL) from Zesch et al. (2008), which converts a Wikipedia dump into a database that provides an easy-to-use access to the dump components.",tool used for data processing,impact-revealing
e13,"Additionally, with the development of social media, a growing number of researchers focus on user-generated web-based texts for claim detection [7], [8].",motivating research work on claim detection,impact-revealing
e14,Miller and Gurevych 2015 proposed a method based on word disambiguation for multiple meanings of semantic puns to detect pun.,reporting existing findings on word disambiguation for multiple meanings,other
e15,"Computational approaches to argument mining/understanding have become very popular (Persing & Ng, 2016; Cano-Basave & He, 2016; Wei et al., 2016; Ghosh et al., 2016; Palau & Moens, 2009; Habernal & Gurevych, 2016).",Acknowledge existing argument mining studies,other
e16,"In extending this work, we intend to test these methods on a variety of sequentially dependent tasks as well as incorporating the use of more efficient MTL methods including AdapterFusion (Pfeiffer et al., 2021) and AdapterDrop (Rücklé et al., 2021).",suggesting future research directions on multi-task learning,impact-revealing
e17,"Transfer learning over prompts (Vu et al., 2022) and Adapters (Pfeiffer et al., 2021) and multi-tasking over the latter (Mahabadi et al., 2021b) have also been explored, but they are not comparable to ours due to difference in task/problem settings., 2022) and Adapters (Pfeiffer et al., 2021) and multi-tasking",Highlight limitations in transfer learning approaches,impact-revealing
e18,"Automatic short answer grading (ASAG) has been an active area of research for nearly a decade, but it has historically been challenging to do easily and effectively enough, for widespread use in educational settings [7].",highlighting a significant challenge in the field of automatic short answer grading,impact-revealing
e19,"…2018; Mao et al., 2019; Su et al., 2020; Gong et al., 2020), generating metaphors (Yu and Wan, 2019; Stowe et al., 2020; Chakrabarty et al., 2020; Stowe et al., 2021) and paraphrasing between non-compositional expressions and their literal counterparts (Liu and Hwa, 2016; Agrawal et al., 2018;…Previously only a few of studies focus on metaphor generation (Yu and Wan, 2019; Chakrabarty et al., 2020; Stowe et al., 2021) whereas other types of non-compositional expressions remain under-IdiomHowever, owing to their non-compositionality and limitations on available and related data resources (Stowe et al., 2020, 2021), the task of generating non-compositional expressions including both idioms and metaphors remains challenging and under-explored.",highlighting research gap and need for further exploration of metaphor and idiom generation,impact-revealing
e20,"…systems that use neural attention, the one used in [29] integrate hierarchical attention and biGRU for the analysis of the quality of the argument, the one in [30] use attention to integrate sentiment lexicon, while in other works [31]–[33] attention modules are stacked on top of recurrent layers.Such is the case with Niculae et al. [23], whose CDCP dataset only consists of argumentative elements, and with others [31], [40], [58] who simply ignore the non-argumentative elements of the input text.",acknowledge variations in existing methods,other
e21,tation platform [55] and the WebAnno TSV v3.,the citation phrase doesn't include enough information to judge so it will be considered not impact-revealing,other
